Start	Stop	Strand	Number of Genes	Genes
65	2134	+	2	Synpcc7942_0001, Synpcc7942_0002
7779	8859	-	3	Synpcc7942_0006, Synpcc7942_0007, Synpcc7942_0008
15630	18392	-	2	Synpcc7942_0017, glyS
18615	21092	+	2	Synpcc7942_0019, Synpcc7942_0020
21134	24121	-	3	Synpcc7942_0021, Synpcc7942_0022, Synpcc7942_0023
28184	32738	+	5	Synpcc7942_0027, Synpcc7942_0028, Synpcc7942_0029, Synpcc7942_0030, Synpcc7942_0031
32849	33506	-	2	Synpcc7942_0032, Synpcc7942_0033
40855	41496	-	2	rpmB, Synpcc7942_0043
45164	48881	+	2	Synpcc7942_0046, Synpcc7942_0047
52606	55030	-	2	Synpcc7942_0051, Synpcc7942_0052
56423	63242	-	9	Synpcc7942_0054, Synpcc7942_0055, Synpcc7942_0056, Synpcc7942_0057, Synpcc7942_0058, Synpcc7942_0059, Synpcc7942_0060, Synpcc7942_0061, Synpcc7942_0062
64266	64870	-	2	Synpcc7942_0063, Synpcc7942_0064
65658	68980	-	3	Synpcc7942_0066, Synpcc7942_0067, Synpcc7942_0068
69378	71139	-	2	Synpcc7942_0070, Synpcc7942_0071
71307	73196	-	2	Synpcc7942_0072, Synpcc7942_0073
73775	75852	+	2	Synpcc7942_0075, Synpcc7942_0076
79265	81918	+	3	Synpcc7942_0082, Synpcc7942_0083, Synpcc7942_0084
82179	86475	-	3	Synpcc7942_0085, Synpcc7942_0086, Synpcc7942_0087
91029	92611	+	2	Synpcc7942_0093, Synpcc7942_0094
103268	104408	-	2	Synpcc7942_0103, Synpcc7942_0104
104653	108383	-	3	nadE, nadD, Synpcc7942_0107
108877	109947	+	2	Synpcc7942_0109, Synpcc7942_0110
113196	113698	+	2	petL, Synpcc7942_0114
119508	121239	-	2	Synpcc7942_0120, Synpcc7942_0121
124738	126158	-	2	hisB, Synpcc7942_0126
127151	128877	+	2	Synpcc7942_0128, Synpcc7942_0129
133915	136052	+	2	Synpcc7942_0133, Synpcc7942_0134
142233	145983	-	4	Synpcc7942_0140, secF, secD, Synpcc7942_0143
150187	151918	-	2	Synpcc7942_0149, Synpcc7942_0150
154914	156307	-	2	mraY, Synpcc7942_0153
156340	157184	+	2	Synpcc7942_0154, Synpcc7942_0155
159996	161632	-	2	Synpcc7942_0158, Synpcc7942_0159
163405	166436	+	5	Synpcc7942_0162, Synpcc7942_0163, Synpcc7942_0164, Synpcc7942_0165, Synpcc7942_0166
170797	172205	+	2	Synpcc7942_0171, Synpcc7942_0172
173111	174198	+	2	Synpcc7942_0174, Synpcc7942_0175
174709	176471	-	2	Synpcc7942_0177, Synpcc7942_0178
177550	179792	-	2	Synpcc7942_0180, Synpcc7942_0181
181078	182555	+	2	Synpcc7942_0183, Synpcc7942_0184
182620	184411	+	2	Synpcc7942_0185, Synpcc7942_0186
187531	190397	-	2	guaA, cbiD
196094	198933	-	2	Synpcc7942_0196, Synpcc7942_0197
198993	204089	-	5	Synpcc7942_0198, Synpcc7942_0199, Synpcc7942_0200, Synpcc7942_0201, Synpcc7942_0202
204483	206046	-	2	Synpcc7942_0203, Synpcc7942_0204
212496	214384	+	2	Synpcc7942_0210, Synpcc7942_0211
220316	221397	-	2	Synpcc7942_0219, Synpcc7942_0220
221498	223398	+	2	glk, Synpcc7942_0222
223395	223961	-	2	Synpcc7942_0223, psbN
224357	225544	+	3	tatA, Synpcc7942_0227, Synpcc7942_0228
227407	229285	-	2	Synpcc7942_0231, Synpcc7942_0232
232565	234669	-	3	Synpcc7942_0237, Synpcc7942_0238, Synpcc7942_0239
238622	242229	-	2	Synpcc7942_0244, Synpcc7942_0245
242421	247880	+	6	Synpcc7942_0246, Synpcc7942_0247, Synpcc7942_0248, Synpcc7942_0249, Synpcc7942_0250, Synpcc7942_0251
247909	248629	-	2	Synpcc7942_0252, Synpcc7942_0253
260700	262372	+	2	Synpcc7942_0263, Synpcc7942_0264
262385	263195	-	2	Synpcc7942_0265, Synpcc7942_0266
264482	265857	-	2	Synpcc7942_0268, Synpcc7942_0269
265975	269989	+	6	Synpcc7942_0270, Synpcc7942_0271, Synpcc7942_0272, coaE, Synpcc7942_0274, Synpcc7942_0275
270001	273532	-	2	Synpcc7942_0276, ligA
273657	275758	+	2	Synpcc7942_0278, Synpcc7942_0279
275768	279422	-	3	Synpcc7942_0280, Synpcc7942_0281, glyA
284148	288139	+	2	secA, Synpcc7942_0290
288312	289760	+	2	Synpcc7942_0291, Synpcc7942_0292
296980	299435	-	3	Synpcc7942_0298, Synpcc7942_0299, Synpcc7942_0300
304710	309043	-	3	Synpcc7942_0307, Synpcc7942_0308, Synpcc7942_0309
309473	311708	-	3	Synpcc7942_0310, ksgA, Synpcc7942_0312
316162	318008	+	2	Synpcc7942_0319, Synpcc7942_0320
318679	322008	-	3	Synpcc7942_0322, Synpcc7942_0323, Synpcc7942_0324
326113	328711	+	3	Synpcc7942_0329, Synpcc7942_0330, Synpcc7942_0331
329764	330831	+	2	Synpcc7942_0334, Synpcc7942_0335
333995	336205	+	3	Synpcc7942_0339, Synpcc7942_0340, Synpcc7942_0341
342793	344832	+	2	Synpcc7942_0350, Synpcc7942_0351
346832	348870	-	2	Synpcc7942_0354, rbfA
349875	351950	-	2	Synpcc7942_0357, trmB
354884	355793	+	2	Synpcc7942_0362, Synpcc7942_0363
365116	366853	+	2	Synpcc7942_0371, Synpcc7942_0372
368929	372206	-	3	Synpcc7942_0375, Synpcc7942_0376, Synpcc7942_0377
373380	374828	+	2	Synpcc7942_0379, Synpcc7942_0380
375456	376448	-	2	Synpcc7942_0382, Synpcc7942_0383
378981	380901	+	2	Synpcc7942_0386, Synpcc7942_0387
389953	392923	+	2	purH, Synpcc7942_0397
393793	395181	-	2	Synpcc7942_0399, Synpcc7942_0400
396872	398509	-	3	Synpcc7942_0402, Synpcc7942_0403, prfB
401464	402022	-	2	Synpcc7942_0409, Synpcc7942_0410
402191	403768	-	3	trpA, Synpcc7942_0412, Synpcc7942_0413
409951	411946	-	2	Synpcc7942_0420, Synpcc7942_0421
415535	418610	-	3	Synpcc7942_0426, Synpcc7942_0427, Synpcc7942_0428
419382	423245	+	3	Synpcc7942_0430, Synpcc7942_0431, Synpcc7942_0432
425057	427150	+	3	Synpcc7942_0434, Synpcc7942_0435, Synpcc7942_0436
427463	428495	+	2	Synpcc7942_0437, Synpcc7942_0438
433076	435040	-	2	Synpcc7942_0443, Synpcc7942_0444
436519	438628	-	3	rpsN, Synpcc7942_0447, Synpcc7942_0448
446215	448166	-	2	Synpcc7942_0458, Synpcc7942_0459
449370	450448	-	2	Synpcc7942_0462, Synpcc7942_0463
454004	456664	-	3	Synpcc7942_0467, secG, Synpcc7942_0469
460296	460544	-	2	Synpcc7942_0474, petN
460994	463749	-	3	Synpcc7942_0477, Synpcc7942_0478, Synpcc7942_0479
467004	469219	-	2	Synpcc7942_0482, Synpcc7942_0483
470975	473554	+	2	Synpcc7942_0485, Synpcc7942_0486
482631	483517	-	2	Synpcc7942_0494, Synpcc7942_0495
483634	484504	-	2	Synpcc7942_0496, Synpcc7942_0497
488470	491698	-	5	Synpcc7942_0500, Synpcc7942_0501, Synpcc7942_0502, Synpcc7942_0503, hemA
492988	495933	+	4	pyrH, frr, Synpcc7942_0508, Synpcc7942_0509
495930	497579	-	2	Synpcc7942_0510, Synpcc7942_0511
498901	501884	-	4	Synpcc7942_0513, Synpcc7942_0514, Synpcc7942_0515, Synpcc7942_0516
506188	507422	+	2	Synpcc7942_0520, Synpcc7942_0521
508795	510332	-	2	Synpcc7942_0524, aroB
513543	516176	+	3	Synpcc7942_0529, Synpcc7942_0530, Synpcc7942_0531
516414	518941	-	3	Synpcc7942_0532, Synpcc7942_0533, Synpcc7942_0534
523604	525062	+	3	Synpcc7942_0539, Synpcc7942_0540, Synpcc7942_0541
526892	527835	+	2	Synpcc7942_0544, Synpcc7942_0545
531884	533037	+	2	Synpcc7942_0549, Synpcc7942_0550
540349	541979	-	2	hslO, Synpcc7942_0560
546588	548017	+	2	Synpcc7942_0565, Synpcc7942_0566
548019	551653	-	3	Synpcc7942_0567, Synpcc7942_0568, Synpcc7942_0569
553324	555134	-	2	Synpcc7942_0571, Synpcc7942_0572
558408	560765	+	2	Synpcc7942_0578, Synpcc7942_0579
562634	564024	-	2	Synpcc7942_0581, Synpcc7942_0582
578620	579298	+	2	Synpcc7942_0590, Synpcc7942_0591
579312	583398	-	4	Synpcc7942_0592, Synpcc7942_0593, Synpcc7942_0594, Synpcc7942_0595
590846	592751	-	2	Synpcc7942_0602, glgC
593711	595367	-	2	Synpcc7942_0605, aat
597977	602205	+	2	Synpcc7942_0610, Synpcc7942_0611
603504	605675	-	2	Synpcc7942_0613, Synpcc7942_0614
610715	613912	+	2	Synpcc7942_0621, Synpcc7942_0622
