Start	Stop	Strand	Number of Genes	Genes
337	5020	+	3	thrA, thrB, thrC
10092	11245	-	2	htgA, yaaI
16493	17486	-	2	STM14_0018, STM14_0019
20058	23240	+	2	STM14_0023, STM14_0024
25112	31209	+	6	bcfB, bcfC, bcfD, bcfE, bcfF, bcfG
31274	32445	+	2	bcfH, STM14_0036
41723	44185	+	2	STM14_0045, STM14_0046
48372	51824	-	2	STM14_0050, STM14_0051
52649	53810	+	2	yaaY, ribF
53855	58746	+	5	ileS, lspA, STM14_0057, slpA, ispH
58946	61084	+	2	STM14_0060, rihC
61106	63413	-	2	STM14_0062, STM14_0063
63548	66893	-	3	STM14_0064, STM14_0065, STM14_0066
68637	73837	+	6	citC2, citD2, citE2, citF2, citX2, citG2
75881	80275	+	2	carA, carB
80354	80957	+	2	STM14_0079, tnpA_1
84892	88915	-	4	caiB, STM14_0086, caiA, caiT
89396	91123	+	2	fixA, fixB
91173	92743	+	2	fixC, fixX
98738	101352	+	3	STM14_0102, yabF, kefC
102136	106468	-	5	apaH, apaG, ksgA, pdxA_1, surA
106522	109053	-	2	imp, STM14_0113
110043	113620	-	2	rluA, hepA
118789	122011	-	2	araA, araB
124122	127382	-	3	thiQ, thiP, tbpA
127427	129492	-	3	STM14_0128, yabN, STM14_0130
129769	134450	-	4	leuD, leuC, leuB, leuA
136610	138765	+	2	ilvI, ilvH
140496	151736	+	11	STM14_0144, yabB, mraW, ftsL, ftsI, murE, murF, mraY, murD, ftsW, murG
151855	156334	+	4	murC, ddl_2, ftsQ, ftsA
162976	164540	-	3	yacG, yacF, coaE
165840	169979	-	5	hofC, hofB, ppdD, STM14_0173, nadC
170067	171481	+	2	ampD, ampE
171573	175466	-	4	STM14_0177, STM14_0178, STM14_0179, aroP
176953	181520	+	2	aceE, aceF
190905	194876	+	4	kdgT, STM14_0194, pdxA_2, STM14_0196
194906	196581	-	2	speD, speE
202886	204579	+	2	yadG, yadH
204696	209040	-	3	stiH, stiC, stiB
212210	213981	-	3	panC, STM14_0215, panB
214102	215996	-	2	folK, pcnB
217734	218985	-	2	sfsA, ligT
219013	221587	+	2	hrpB, STM14_0224
226681	230665	+	4	fhuC, fhuD, fhuB, STM14_0232
232007	237807	+	6	stfC, stfD, stfE, stfF, stfG, STM14_0240
239222	240786	+	2	STM14_0242, yadQ
241313	243464	-	3	yadS, btuF, pfs
249994	253520	-	2	dapD, glnD
254799	255727	+	2	STM14_0256, rpsB
259830	265498	+	5	STM14_0262, uppS, cdsA, yaeL, yaeT
265621	274707	+	8	hlpA, lpxD, fabZ, lpxA, lpxB, rnhB, dnaE, accA
280751	281216	-	2	rof, yaeP
281396	282360	+	2	yaeQ, yaeJ
284996	286104	-	2	yaeB, rcsF
286223	288754	-	3	metQ, yaeE, metN
289581	289819	-	2	STM14_0291, STM14_0292
305365	311526	-	6	STM14_0313, STM14_0314, STM14_0315, STM14_0316, STM14_0317, STM14_0318
314633	316692	+	2	STM14_0320, STM14_0321
316755	317324	+	2	STM14_0322, STM14_0323
318368	319221	+	2	STM14_0325, STM14_0326
319916	323878	+	4	STM14_0328, STM14_0329, STM14_0330, STM14_0331
324081	330161	+	5	STM14_0332, STM14_0333, STM14_0334, STM14_0335, STM14_0336
330558	337330	+	3	STM14_0338, STM14_0339, STM14_0340
337687	338960	+	2	STM14_0341, STM14_0342
339345	339960	+	2	STM14_0344, STM14_0345
343514	347253	+	3	safB, safC, safD
350578	351450	-	2	STM14_0360, STM14_0361
367000	369365	+	2	proB, proA
373458	378313	+	5	STM14_0385, STM14_0386, STM14_0387, STM14_0388, STM14_0389
379666	385032	-	4	stbE, stbD, stbC, stbB
386264	387501	+	2	STM14_0398, STM14_0399
