Start	Stop	Strand	Number of Genes	Genes
1347	3380	+	3	SM2011_c02792, aroE1, coaE
5786	8562	+	4	SM2011_c02786, SM2011_c02785, SM2011_c02784, SM2011_c02783
19442	23104	+	3	SM2011_c02774, SM2011_c02773, SM2011_c02772
27376	30113	+	3	trpF, trpB, trpA
30167	32440	+	2	accD, folC
34496	45978	-	5	SM2011_c02760, SM2011_c02759, SM2011_c02758, SM2011_c02757, SM2011_c02756
47837	48528	-	2	SM2011_c02754, SM2011_c02753
48809	51039	-	2	SM2011_c02752, chvG,exoS
56529	57844	-	2	coaA, hisE
57909	61216	-	5	hisF, hisA, hisH, SM2011_c02573, hisB
61537	63909	+	3	hslV, SM2011_c02576, hslU
74986	81030	-	4	helO, SM2011_c02587, SM2011_c02588, SM2011_c02589
89374	91132	-	3	SM2011_c02591, SM2011_c02592, SM2011_c02593
91222	93146	-	2	SM2011_c02594, metB
96439	102422	-	5	folD1, soxG, soxA1, soxD, soxB
103599	106571	+	3	glxB, glxC, glxD
108064	109044	-	2	SM2011_c02614, SM2011_c02615
109201	111497	-	4	SM2011_c02616, SM2011_c02617, SM2011_c02618, SM2011_c02619
113825	116536	+	3	SM2011_c04153, SM2011_c04152, SM2011_c04151
130842	137825	-	7	gst9, SM2011_c04140, SM2011_c04139, SM2011_c04138, SM2011_c04137, SM2011_c04136, SM2011_c04135
138820	143403	+	4	SM2011_c04133, SM2011_c04132, SM2011_c04131, SM2011_c04130
147807	154027	+	6	SM2011_c04127, SM2011_c04126, SM2011_c04125, cdd, deoD, deoA
154871	157062	-	2	add, deoB
157283	158489	-	2	SM2011_c04118, SM2011_c04117
161629	163986	+	2	cpaB1, cpaC1
164043	167564	+	3	cpaD1, cpaE1, cpaF1
167623	169624	+	2	SM2011_c02821, SM2011_c02822
173693	174900	+	2	SM2011_c02826, SM2011_c02827
175137	179959	-	4	SM2011_c02828, SM2011_c02829, SM2011_c02830, SM2011_c02831
185049	188356	+	3	SM2011_c02836, dapB, gpmA
195005	196403	+	2	SM2011_c02846, SM2011_c02847
213277	214801	-	2	SM2011_c02859, SM2011_c02860
214915	216563	-	2	pit1, SM2011_c02862
216798	219203	+	3	recF, moeB, SM2011_c02865
219908	224288	-	2	SM2011_c02867, SM2011_c02868
224765	228673	-	4	SM2011_c02869, SM2011_c02870, SM2011_c02871, SM2011_c02872
231332	232977	+	2	SM2011_c02875, SM2011_c02876
233071	235250	+	2	SM2011_c02877, nagA
235534	238537	-	3	cutC, SM2011_c02880, SM2011_c02881
242731	243065	-	2	SM2011_c02887, SM2011_c05001
244293	248727	+	3	SM2011_c02889, SM2011_c02890, SM2011_c02891
255205	256836	+	2	kdsB, pheA
257737	259823	-	3	SM2011_c02902, SM2011_c02903, SM2011_c02904
263175	265056	+	2	recR, mltB1
267805	270131	+	2	nusA, SM2011_c02913
273066	274421	+	2	rbfA, truB
280796	282827	-	2	fabI2, fabB
286979	288984	+	2	aroA, cmk
306949	308071	+	2	SM2011_c00351, SM2011_c00352
309989	312090	-	2	kamA, genX
318505	319149	+	2	rpmI, rplT
319295	322837	+	2	pheS, pheT
323684	324663	-	2	SM2011_c00368, SM2011_c00369
331802	333972	+	2	xseA, SM2011_c00379
338538	339365	-	2	SM2011_c00385, SM2011_c00386
342000	342921	-	2	SM2011_c00389, SM2011_c00390
343263	343930	+	2	SM2011_c00392, SM2011_c00393
345629	346716	-	2	pfs, SM2011_c00396
349933	352610	-	2	SM2011_c00400, SM2011_c00401
356355	359093	-	3	SM2011_c00405, SM2011_c00406, gst4
362071	363981	-	3	pyrF, SM2011_c00413, pmtA
365548	366868	+	2	SM2011_c00416, SM2011_c00418
390626	391979	+	2	SM2011_c01160, SM2011_c01159
393674	396029	-	2	aarF, ubiE
400978	402620	+	2	SM2011_c01151, SM2011_c01150
402695	404059	+	2	SM2011_c01149, SM2011_c01148
405269	406357	-	2	SM2011_c01146, SM2011_c01145
412985	415071	-	3	SM2011_c01138, SM2011_c01137, SM2011_c01136
417970	420484	+	3	SM2011_c01131, SM2011_c01130, lspA
429608	434447	+	3	glnD, mviN, SM2011_c01122
439371	443548	+	4	miaB, phoH, SM2011_c01113, tlyC
456144	457822	+	2	fmt, truA
457960	458887	-	2	SM2011_c01098, SM2011_c01394
459141	460917	-	2	SM2011_c01097, dapE
469819	471065	-	2	SM2011_c01089, dapD
474129	476049	+	2	ada, SM2011_c01727
480483	482821	-	3	oxaA, rnpA, rpmH
485370	487614	+	2	SM2011_c01718, merA1
497040	501774	+	2	SM2011_c01710, SM2011_c01709
502047	506890	+	2	SM2011_c01708, SM2011_c01707
509458	510898	-	2	SM2011_c01703, SM2011_c01702
521879	523541	-	2	SM2011_c02173, frcR
525200	527681	+	3	frcC, frcA, frcK
527826	529630	+	2	pyrC, pyrE
537426	539648	+	3	SM2011_c02159, SM2011_c02158, cdsA2
540916	542956	+	2	int, SM2011_c02202
545716	546496	-	2	SM2011_c02189, SM2011_c02200
547182	548812	+	2	SM2011_c02199, SM2011_c02203
548971	560200	-	5	SM2011_c02155, SM2011_c02154, SM2011_c04429, SM2011_c02153, SM2011_c02152
567842	572274	+	4	pstC, pstA, pstB, phoU
583801	585273	-	2	SM2011_c02222, SM2011_c02223
587902	591345	-	2	fadB, fadA
597697	599426	+	2	SM2011_c02232, SM2011_c02234
603510	604516	+	2	SM2011_c02238, SM2011_c02239
606376	607148	+	2	SM2011_c02242, SM2011_c02243
608538	609997	-	2	pyrD, SM2011_c02246
618696	621171	-	2	qxtB, qxtA
621310	624027	-	3	hipO2, SM2011_c02257, SM2011_c02258
624135	625808	-	2	SM2011_c02259, SM2011_c02260
625998	629436	+	3	SM2011_c02261, aspC, ilvB1
635272	638237	-	2	rkpJ, rkpI
638319	648088	-	3	rkpH, rkpG, rkpA,wcbR
652929	657253	+	6	SM2011_c02279, SM2011_c02280, SM2011_c02281, SM2011_c02282, SM2011_c02283, SM2011_c02284
664608	670660	-	3	hsdR, hsdS, hsdM
672433	673514	+	2	SM2011_c02298, SM2011_c02329
673476	676291	-	3	SM2011_c02300, SM2011_c02301, SM2011_c02302
679895	682165	+	3	hisD1, SM2011_c02308, SM2011_c02309
682639	683476	+	2	maf, SM2011_c02312
684060	684637	+	2	SM2011_c04431, SM2011_c04432
