Start	Stop	Strand	Number of Genes	Genes
2805	8492	+	4	CD630_00030, recF, gyrB, gyrA
8561	10630	+	5	CD630_00070, CD630_00080, rsbV, rsbW, sigB
16073	17493	+	2	CD630_00120, CD630_00130
22166	23128	+	2	CD630_00170, recR
40921	45361	+	4	CD630_00230, mcsA, mcsB, clpC
45541	47987	+	2	radA, disA
52724	55558	+	2	CD630_00320, CD630_00330
57469	61492	+	4	CD630_00350, acoA, acoB, acoC
63807	67197	+	2	CD630_00400, CD630_00410
67656	69513	+	2	CD630_00430, CD630_00440
71715	72910	+	2	ispD, ispF
78999	80794	+	2	cysS, mrnC
80900	82938	+	3	thyX, CD630_00550, CD630_00560
85167	86589	+	4	rpmG, secE, nusG, rplK
102884	111899	+	20	rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ, rplN, rplX, rplE, rpsZ, rpsH, rplF, rplR, rpsE, rpmD, rplO
111943	115321	+	6	prlA, adk, map1, CD630_00930, infA, rpmJ
115474	116934	+	3	rpsM, rpsK, rpsD
117012	118321	+	2	rpoA, rplQ
118441	121688	+	4	cbiO1, cbiO2, cbiQ, truA1
121808	122660	+	2	rplM, rpsI
138020	140932	+	2	nrdD, nrdG
153933	156066	+	3	CD630_01100, CD630_01110, CD630_01111
156254	158924	+	3	ptb, buk, CD630_01140
158967	161600	+	4	CD630_01150, CD630_01160, CD630_01170, CD630_01180
167424	169435	+	2	CD630_01220, murA
171875	173338	+	2	mreB1, fabZ
177257	180261	+	2	CD630_01320, CD630_01330
182647	185207	+	4	CD630_01350, CD630_01360, CD630_01370, CD630_01380
186311	188040	+	2	CD630_01400, cutC
199087	201743	+	4	CD630_01490, CD630_01500, rimI, gcp
202040	205952	+	3	CD630_01530, CD630_01540, CD630_01550
212060	216641	+	4	CD630_01610, CD630_01620, CD630_01630, CD630_01631
217806	220412	-	2	CD630_01650, CD630_01660
224053	227358	-	2	CD630_01690, CD630_01700
230672	234240	+	3	cooS, CD630_01750, CD630_01760
239189	240475	+	2	CD630_01810, CD630_01811
242556	245102	+	3	pyrB, pyrK, pyrD
249367	251750	+	2	CD630_01910, cls
251943	253888	+	2	groS, groL
256539	258208	+	2	guaA, CD630_01981
268442	271978	+	3	CD630_02050, CD630_02060, CD630_02070
274956	277762	+	2	licC, CD630_02120
277986	278500	-	2	CD630_02130, CD630_02140
278948	280506	+	2	CD630_02150, CD630_02160
281723	292556	+	8	purE, purC, purF, purG, purN, purH, purD, purL
293002	294445	+	3	CD630_02260, CD630_02270, fliN
294596	300841	+	10	flgM, CD630_02300, flgK, flgL, fliW, csrA, fliS1, fliS2, fliD, CD630_02380
304766	308251	+	4	CD630_02410, CD630_02420, CD630_02430, CD630_02440
309272	328990	+	25	flgB, flgC, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, flgD, flgE, FlbD, motA, motB, fliL, fliZ, fliP, fliQ, flhB, flhA, flhF, flhG, fliA, CD630_02670, CD630_02671
329031	333302	+	5	flgG1, flgG, fliM, fliN, CD630_02720
333418	335558	+	2	htpG, CD630_02731
338303	339645	+	2	CD630_02760, CD630_02770
346714	350194	+	6	CD630_02840, CD630_02850, CD630_02860, CD630_02870, CD630_02880, CD630_02890
353054	356025	+	4	CD630_02920, CD630_02921, CD630_02930, CD630_02940
362100	364593	+	2	rbsA, rbsC
364777	366802	+	2	argE, CD630_03040
368579	370353	+	3	CD630_03060, CD630_03070, CD630_03080
373980	376755	+	2	CD630_03120, CD630_03130
382386	383228	+	2	CD630_03140, CD630_03150
383535	386084	-	4	CD630_03160, CD630_03170, CD630_03180, CD630_03181
386129	387936	-	3	CD630_03190, CD630_03200, CD630_03210
388188	390879	+	2	CD630_03220, CD630_03230
391385	393923	+	4	cbiM, cbiN, cbiQ, cbiO
394178	398540	+	3	pcrA, CD630_03290, CD630_03300
407612	411244	-	3	CD630_03350, CD630_03360, CD630_03370
411452	413143	+	2	CD630_03380, CD630_03390
413328	418844	-	2	CD630_03400, CD630_03410
425143	426222	+	2	CD630_03500, CD630_03510
430695	431381	-	2	CD630_03580, CD630_03590
432090	433747	-	2	CD630_03610, CD630_03620
433806	436542	-	2	CD630_03630, CD630_03640
436715	438365	-	2	CD630_03650, CD630_03660
438435	440511	-	4	CD630_03670, CD630_03680, CD630_03690, CD630_03700
440599	447563	-	5	CD630_03710, CD630_03720, CD630_03730, CD630_03740, CD630_03750
447677	448916	-	3	CD630_03760, CD630_03770, CD630_03780
448992	450472	-	3	CD630_03790, CD630_03800, CD630_03810
450811	456610	-	6	CD630_03820, CD630_03830, CD630_03840, CD630_03850, CD630_03851, CD630_03860
457410	461601	+	3	bglF, bglA, bglG
463846	464996	-	2	CD630_03920, CD630_03930
467033	471439	+	4	hadA, hadI, hadB, hadC
471487	474494	+	3	acdB, etfB1, etfA1
477999	480878	+	5	CD630_04040, rluA, CD630_04060, CD630_04080, CD630_04081
480966	484856	+	4	CD630_04090, CD630_04100, CD630_04110, CD630_04120
484903	493350	+	10	CD630_04121, CD630_04130, CD630_04140, CD630_04150, CD630_04160, CD630_04170, CD630_04180, CD630_04190, CD630_04191, CD630_04200
505616	507303	-	2	CD630_04250, CD630_04260
509017	516835	+	7	CD630_04290, CD630_04300, CD630_04310, CD630_04320, CD630_04330, CD630_04340, CD630_04341
527157	528888	+	2	ortA, ortB
528966	535447	+	5	oraS, oraE, CD630_04470, orr, CD630_04490
536903	538166	+	2	CD630_04520, CD630_04530
546662	550002	+	2	CD630_04590, CD630_04600
550183	552026	-	2	CD630_04610, CD630_04620
554084	555594	+	2	CD630_04650, CD630_04660
555699	560071	+	3	CD630_04670, CD630_04680, CD630_04690
560426	562614	-	2	blaR, blaI
562847	563961	+	2	CD630_04720, CD630_04730
567177	569421	+	3	spaF, spaE, spaG
569476	571611	+	2	spaR, spaK
571851	574990	-	2	CD630_04830, CD630_04840
575165	576987	-	2	CD630_04850, CD630_04860
581655	582564	+	2	CD630_04910, CD630_04920
582611	584232	+	2	CD630_04930, CD630_04940
585695	589218	+	5	CD630_04960, CD630_04970, CD630_04980, CD630_04981, CD630_04990
590184	595175	+	3	CD630_05010, CD630_05020, CD630_05030
603157	603809	+	2	CD630_05100, CD630_05101
617747	619003	+	2	CD630_05170, CD630_05180
620661	622963	+	2	CD630_05200, CD630_05210
632929	635577	-	3	CD630_05280, CD630_05290, CD630_05300
639255	640354	+	2	cheC, cheD
641051	643739	+	2	CD630_05370, CD630_05380
643952	647982	+	4	cheA, cheW, cheR, CD630_05420
652155	653907	+	2	CD630_05470, CD630_05480
661392	662693	+	2	sip2, CD630_05560
675554	676908	+	2	CD630_05660, CD630_05670
680082	681664	+	2	CD630_05710, CD630_05720
695032	698364	+	3	CD630_05810, CD630_05820, CD630_05821
698825	701234	-	2	CD630_05830, CD630_05840
704792	705374	+	2	CD630_05870, CD630_05880
705775	713495	+	2	CD630_05890, CD630_05900
718446	720313	+	2	CD630_05940, CD630_05950
720829	721313	+	2	CD630_05960, cotJB1
735021	737874	-	2	CD630_06120, CD630_06130
743073	743997	-	3	CD630_06190, CD630_06200, CD630_06210
744929	745341	+	2	CD630_06230, CD630_06240
751318	752122	+	2	CD630_06271, CD630_06280
763670	764296	+	2	CD630_06410, CD630_06420
765815	767421	+	2	CD630_06430, CD630_06440
767494	769097	+	2	CD630_06450, CD630_06460
771590	776777	+	3	CD630_06490, CD630_06500, CD630_06510
777958	779832	+	3	CD630_06520, CD630_06530, CD630_06540
807044	809468	-	3	cdd2, cdd3, cdd4
819393	820648	-	2	CD630_06760, CD630_06770
821646	824118	+	2	CD630_06790, CD630_06800
825569	828224	+	2	CD630_06820, CD630_06830
831229	831960	+	2	infC, rpmI
842615	843387	+	2	CD630_06940, CD630_06941
849711	853755	+	3	pheS, pheT, CD630_07010
858043	859132	+	2	CD630_07040, CD630_07050
871523	874437	+	2	CD630_07130, CD630_07140
882059	884550	+	3	folD, CD630_07210, metF
886035	889167	+	3	CD630_07240, CD630_07250, CD630_07260
892782	896542	+	3	CD630_07300, CD630_07310, CD630_07320
897554	898546	+	3	CD630_07340, CD630_07350, CD630_07360
908100	909649	+	2	CD630_07440, CD630_07450
917795	919315	+	2	CD630_07500, CD630_07510
934622	937635	+	3	srlR, srlM, srlA
937699	938658	+	2	srlEa, srlEb
942519	944083	+	3	spoIIAA, spoIIAB, sigF
944967	946356	+	2	spoVAD, spoVAE
948832	950410	+	2	CD630_07780, CD630_07790
957802	960028	+	2	CD630_07850, CD630_07860
960647	962615	+	2	CD630_07880, CD630_07890
964179	964942	-	2	CD630_07920, CD630_07930
974669	978927	+	4	CD630_08020, CD630_08030, etfB, etfA
985481	986215	+	2	CD630_08120, CD630_08130
986432	988337	-	2	CD630_08140, CD630_08150
992746	995028	+	2	CD630_08180, CD630_08190
995689	997313	+	2	CD630_08200, CD630_08210
997461	999930	+	3	CD630_08220, CD630_08230, CD630_08240
1000307	1001687	+	3	rbr, CD630_08260, rbo
1008103	1012263	+	3	aksA, acnB, icd
1012613	1013590	+	2	CD630_08350, CD630_08360
1014397	1015422	+	2	CD630_08380, CD630_08390
1023154	1025146	+	2	CD630_08470, CD630_08480
1025230	1026856	+	2	CD630_08490, CD630_08500
1027306	1028141	-	2	CD630_08510, CD630_08520
1028468	1030349	+	2	oppB, oppC
1038062	1040046	+	3	CD630_08610, CD630_08620, CD630_08630
1046780	1049103	+	3	modB, modC, maa
1050405	1052049	-	2	CD630_08740, CD630_08750
1053992	1055636	-	2	CD630_08770, CD630_08780
1058187	1059697	+	2	CD630_08800, CD630_08810
1060468	1068535	+	5	glgC, glgD, glgA, glgP, CD630_08860
1071633	1073795	+	3	speH, speE, speB
1083366	1086042	+	2	opuCA, opuCC
