Start	Stop	Strand	Number of Genes	Genes
2052	4997	+	3	RVBD_0002, RVBD_0003, RVBD_0004
5123	9818	+	2	RVBD_0005, RVBD_0006
11421	11692	-	2	RVBD_0007Ac, RVBD_0007Bc
14089	15612	+	2	RVBD_0012, RVBD_0013
15590	23181	-	5	RVBD_0014c, RVBD_0015c, RVBD_0016c, RVBD_0017c, RVBD_0018c
27595	29607	+	3	RVBD_0023, RVBD_0024, RVBD_0025
31189	31819	+	2	RVBD_0027, RVBD_0028
33224	33794	+	2	RVBD_0030, RVBD_0031
34295	38947	+	4	RVBD_0032, RVBD_0033, RVBD_0034, RVBD_0035
48233	49939	-	2	RVBD_0044c, RVBD_0045c
53663	57970	+	3	RVBD_0050, RVBD_0051, RVBD_0052
59119	63017	+	4	RVBD_0055, RVBD_0056, RVBD_0057, RVBD_0058
63197	64964	+	2	RVBD_0059, RVBD_0060
68617	72219	+	3	RVBD_0064, RVBD_0064A, RVBD_0065
76234	78893	-	2	RVBD_0069c, RVBD_0070c
80621	82665	+	2	RVBD_0072, RVBD_0073
82745	85165	+	2	RVBD_0074, RVBD_0075
87205	88001	-	2	RVBD_0078A, RVBD_0078Bc
88201	89477	+	2	RVBD_0079, RVBD_0080
89572	97598	+	8	RVBD_0081, RVBD_0082, RVBD_0083, RVBD_0084, RVBD_0085, RVBD_0086, RVBD_0087, RVBD_0088
105321	117536	+	6	RVBD_0096, RVBD_0097, RVBD_0098, RVBD_0099, RVBD_0100, RVBD_0101
137317	139671	+	3	RVBD_0113, RVBD_0114, RVBD_0115
148489	149222	+	2	RVBD_0122, RVBD_0123
165321	166847	+	2	RVBD_0138, RVBD_0139
174831	176666	+	2	RVBD_0148, RVBD_0149
177541	180894	-	2	RVBD_0151c, RVBD_0152c
181153	183196	-	2	RVBD_0153c, RVBD_0154c
183620	186477	+	3	RVBD_0155, RVBD_0156, RVBD_0157
196859	209670	+	12	RVBD_0167, RVBD_0168, RVBD_0169, RVBD_0170, RVBD_0171, RVBD_0172, RVBD_0173, RVBD_0174, RVBD_0175, RVBD_0176, RVBD_0177, RVBD_0178
210890	214138	-	3	RVBD_0180c, RVBD_0181c, RVBD_0182c
214967	216222	+	2	RVBD_0184, RVBD_0185
222287	224662	+	2	RVBD_0191, RVBD_0192
231645	234475	+	2	RVBD_0196, RVBD_0197
236550	237895	+	2	RVBD_0199, RVBD_0200
237892	241292	-	2	RVBD_0201c, RVBD_0202c
247384	248906	-	2	RVBD_0207c, RVBD_0208c
249038	251598	+	2	RVBD_0209, RVBD_0210
253669	255950	-	2	RVBD_0212c, RVBD_0213c
260924	264023	+	3	RVBD_0218, RVBD_0219, RVBD_0220
264067	266295	+	2	RVBD_0221, RVBD_0222
269834	272839	-	2	RVBD_0226c, RVBD_0227c
274306	274904	-	2	RVBD_0229c, RVBD_0229Ac
277899	279529	+	2	RVBD_0232, RVBD_0233
279605	286851	-	3	RVBD_0234c, RVBD_0235c, RVBD_0236c
289104	289782	+	2	RVBD_0239, RVBD_0240
289812	292029	-	2	RVBD_0241c, RVBD_0242c
