Start	Stop	Strand	Number of Genes	Genes
1891	3234	+	2	Cbei_0002, Cbei_0003
3283	4646	+	2	recF, Cbei_0005
4701	9118	+	2	gyrB, Cbei_0007
14767	17450	+	4	Cbei_0008, Cbei_0009, Cbei_0010, Cbei_0011
18350	22341	+	2	Cbei_0012, Cbei_0013
36010	38083	+	2	Cbei_0024, proA
40396	44669	+	2	Cbei_0028, carB
48267	49308	+	2	Cbei_0034, Cbei_0035
57280	59316	+	2	Cbei_0042, Cbei_0043
59470	60143	-	2	Cbei_0044, Cbei_0045
65349	67158	+	2	Cbei_0048, Cbei_0049
77171	78574	+	2	Cbei_0058, ksgA
78744	81487	+	2	Cbei_0060, Cbei_0061
81707	84161	+	3	Cbei_0062, Cbei_0063, Cbei_0064
89973	93079	+	2	aksA, Cbei_0070
100772	102886	-	2	Cbei_0077, murC
107490	113711	+	4	Cbei_0083, Cbei_0084, Cbei_0085, Cbei_0086
115932	118936	+	2	Cbei_0089, Cbei_0090
119967	120662	+	2	Cbei_0093, Cbei_0094
126199	128147	+	2	Cbei_0098, Cbei_0099
134393	136395	+	2	greA, lysS
153479	155887	+	4	Cbei_0114, Cbei_0115, Cbei_0116, Cbei_0117
157057	161611	+	4	Cbei_0120, Cbei_0121, Cbei_0122, Cbei_0123
166388	168190	+	2	Cbei_0128, ispD
168583	171713	+	2	Cbei_0130, cysS
171763	174342	+	4	Cbei_0132, Cbei_0133, Cbei_0134, Cbei_0135
176129	176918	+	2	secE, nusG
179620	186888	+	2	rpoB, Cbei_0145
192509	194081	+	3	rplC, rplD, rplW
195045	199227	+	11	rpsS, rplV, rpsC, rplP, Cbei_0159, rpsQ, rplN, rplX, rplE, rpsN, rpsH
199296	204113	+	8	rplF, rplR, rpsE, rpmD, rplO, secY, adk, Cbei_0173
204201	204708	+	2	Cbei_0174, infA
205100	206530	+	3	rpsM, Cbei_0178, rpsD
206633	207934	+	2	Cbei_0180, rplQ
208168	211439	+	4	Cbei_0182, cbiO, Cbei_0184, truA
211600	212453	+	2	rplM, rpsI
227940	229981	+	2	Cbei_0200, Cbei_0201
234292	237303	+	4	Cbei_0205, Cbei_0206, Cbei_0207, Cbei_0208
241127	244494	+	3	Cbei_0213, Cbei_0214, leuD
245786	248476	+	2	Cbei_0217, Cbei_0218
252039	252800	+	2	Cbei_0220, Cbei_0221
