Start	Stop	Strand	Number of Genes	Genes
3231	6184	+	3	Elen_0003, Elen_0004, Elen_0005
24125	28646	+	3	Elen_0017, Elen_0018, Elen_0019
31742	33031	+	3	Elen_0023, Elen_0024, Elen_0025
33333	38371	+	3	Elen_0026, Elen_0027, Elen_0028
41048	43894	+	2	Elen_0032, Elen_0033
47085	49694	+	2	Elen_0036, Elen_0037
49982	57303	+	5	Elen_0038, Elen_0039, Elen_0040, Elen_0041, Elen_0042
57367	59630	+	2	Elen_0043, Elen_0044
59734	63288	+	5	Elen_0045, Elen_0046, Elen_0047, Elen_0048, Elen_0049
69375	71709	+	2	Elen_0055, Elen_0056
71857	74653	+	2	Elen_0057, Elen_0058
77497	85722	-	5	Elen_0061, Elen_0062, Elen_0063, Elen_0064, Elen_0065
85881	89113	-	2	Elen_0066, Elen_0067
101023	103723	-	2	Elen_0075, Elen_0076
105497	107204	-	2	Elen_0079, Elen_0080
109763	112118	-	2	Elen_0083, Elen_0084
116600	119024	+	3	Elen_0087, Elen_0088, Elen_0089
126609	127622	+	2	Elen_0095, Elen_0096
127804	131717	-	6	Elen_0097, Elen_0098, Elen_0099, Elen_0100, Elen_0101, Elen_0102
133235	140120	+	2	Elen_0104, Elen_0105
151085	155455	+	3	Elen_0112, Elen_0113, Elen_0114
156486	158187	+	2	Elen_0116, Elen_0117
193969	198157	+	3	Elen_0140, Elen_0141, Elen_0142
221034	225033	+	2	Elen_0159, Elen_0160
225106	226974	-	2	Elen_0161, Elen_0162
227239	231174	+	3	Elen_0163, Elen_0164, Elen_0165
244083	245919	-	2	Elen_0175, Elen_0176
245994	247893	-	2	Elen_0177, Elen_0178
276418	277939	+	2	Elen_0195, Elen_0196
279551	280093	-	2	Elen_0199, Elen_0200
280260	282445	-	2	Elen_0201, Elen_0202
294462	296628	-	3	Elen_0211, Elen_0212, Elen_0213
311578	315447	+	4	Elen_0224, Elen_0225, Elen_0226, Elen_0227
315672	320352	+	5	Elen_0228, Elen_0229, Elen_0230, Elen_0231, Elen_0232
320527	322585	+	2	Elen_0233, Elen_0234
326240	328375	+	2	Elen_0238, Elen_0239
328940	331449	+	2	Elen_0240, Elen_0241
333455	335802	+	2	Elen_0244, Elen_0245
336788	339165	+	2	Elen_0247, Elen_0248
340501	341850	+	2	Elen_0250, Elen_0251
342052	344649	+	2	Elen_0252, Elen_0253
352889	357245	+	2	Elen_0261, Elen_0262
357340	358596	+	3	Elen_0263, Elen_0264, Elen_0265
368403	369481	-	2	Elen_0274, Elen_0275
369667	371168	-	2	Elen_0276, Elen_0277
372506	375161	+	2	Elen_0279, Elen_0280
377636	380155	+	4	Elen_0282, Elen_0283, Elen_0284, Elen_0285
387470	388086	-	2	Elen_0291, Elen_0292
388197	389343	-	2	Elen_0293, Elen_0294
393136	395907	+	3	Elen_0298, Elen_0299, Elen_0300
404725	407577	+	3	Elen_0309, Elen_0310, Elen_0311
408438	411329	+	3	Elen_0313, Elen_0314, Elen_0315
411438	415044	+	2	Elen_0316, Elen_0317
416678	417720	+	2	Elen_0320, Elen_0321
417792	421620	+	4	Elen_0322, Elen_0323, Elen_0324, Elen_0325
421739	425336	+	2	Elen_0326, Elen_0327
426556	429384	+	3	Elen_0329, Elen_0330, Elen_0331
429439	432977	-	2	Elen_0332, Elen_0333
433030	435934	-	3	Elen_0334, Elen_0335, Elen_0336
447440	448111	-	3	Elen_0343, Elen_0344, Elen_0345
448553	449383	+	2	Elen_0346, Elen_0347
455820	460007	+	2	Elen_0354, Elen_0355
463315	466129	+	4	Elen_0359, Elen_0360, Elen_0361, Elen_0362
470003	470714	+	2	Elen_0365, Elen_0366
472808	476642	+	2	Elen_0368, Elen_0369
480369	482374	-	2	Elen_0372, Elen_0373
483567	486490	+	2	Elen_0375, Elen_0376
489797	491684	+	2	Elen_0380, Elen_0381
495239	498798	+	4	Elen_0385, Elen_0386, Elen_0387, Elen_0388
502916	505696	+	2	Elen_0393, Elen_0394
514109	516683	-	3	Elen_0401, Elen_0402, Elen_0403
534556	537844	+	3	Elen_0416, Elen_0417, Elen_0418
537977	539318	+	2	Elen_0419, Elen_0420
541107	544158	+	2	Elen_0422, Elen_0423
544271	546441	+	3	Elen_0424, Elen_0425, Elen_0426
547554	550871	+	4	Elen_0428, Elen_0429, Elen_0430, Elen_0431
554140	556067	+	2	Elen_0434, Elen_0435
560445	562690	-	2	Elen_0439, Elen_0440
562863	567197	+	4	Elen_0441, Elen_0442, Elen_0443, Elen_0444
570026	573632	+	3	Elen_0447, Elen_0448, Elen_0449
573786	579033	+	3	Elen_0450, Elen_0451, Elen_0452
590895	593969	+	2	Elen_0462, Elen_0463
594140	596335	+	3	Elen_0464, Elen_0465, Elen_0466
600540	605098	-	3	Elen_0469, Elen_0470, Elen_0471
605486	607523	+	2	Elen_0473, Elen_0474
609667	612123	+	4	Elen_0476, Elen_0477, Elen_0478, Elen_0479
613734	615563	+	2	Elen_0481, Elen_0482
628692	631970	-	4	Elen_0491, Elen_0492, Elen_0493, Elen_0494
635502	640382	+	3	Elen_0497, Elen_0498, Elen_0499
642823	647496	+	3	Elen_0501, Elen_0502, Elen_0503
647742	649411	+	2	Elen_0504, Elen_0505
651274	655709	+	3	Elen_0507, Elen_0508, Elen_0509
657053	661594	+	3	Elen_0511, Elen_0512, Elen_0513
663588	668068	+	3	Elen_0515, Elen_0516, Elen_0517
683059	685417	-	2	Elen_0527, Elen_0528
693833	702499	+	10	Elen_0535, Elen_0536, Elen_0537, Elen_0538, Elen_0539, Elen_0540, Elen_0541, Elen_0542, Elen_0543, Elen_0544
702709	706477	+	8	Elen_0545, Elen_0546, Elen_0547, Elen_0548, Elen_0549, Elen_0550, Elen_0551, Elen_0552
706518	713069	+	6	Elen_0553, Elen_0554, Elen_0555, Elen_0556, Elen_0557, Elen_0558
713126	713806	+	2	Elen_0559, Elen_0560
713913	717303	-	3	Elen_0561, Elen_0562, Elen_0563
717493	719237	+	2	Elen_0564, Elen_0565
728325	730347	+	2	Elen_0574, Elen_0575
735517	737130	+	2	Elen_0580, Elen_0581
738098	740992	+	3	Elen_0583, Elen_0584, Elen_0585
747500	749358	+	3	Elen_0589, Elen_0590, Elen_0591
755209	756037	+	2	Elen_0592, Elen_0593
768782	771849	+	2	Elen_0602, Elen_0603
771916	772878	+	2	Elen_0604, Elen_0605
774769	778900	+	3	Elen_0607, Elen_0608, Elen_0609
778966	781827	+	4	Elen_0610, Elen_0611, Elen_0612, Elen_0613
