Start	Stop	Strand	Number of Genes	Genes
1483	4888	+	2	dnaN, gyrB
4914	6496	-	2	CJE0004, CJE0005
8142	14087	+	2	gltB, gltD
14088	14935	-	2	rnhB, comEA
19982	21687	-	2	CJE0017, CJE0018
21793	24478	-	2	CJE0019, ccpA-1
26513	30226	+	2	purB-1, nrdA
32513	35702	+	2	pyrG, recJ
44699	50928	+	2	CJE0031, CJE0032
50958	52858	-	2	CJE0033, CJE0034
55555	58010	-	2	CJE0037, typA
58145	60277	+	2	CJE0039, CJE0040
60330	62855	+	2	flgD, flgE-1
62859	65451	-	2	CJE0043, CJE0044
67407	69028	-	2	mnmA, CJE0049
69149	70296	-	2	CJE0050, CJE0051
70366	70880	-	2	CJE0052, CJE0053
71013	72448	+	2	CJE0054, CJE0055
72497	78741	-	8	fliY, fliM, fliA, CJE0059, CJE0060, flhF, folK, aroQ
78832	80945	+	2	CJE0064, sppA
83090	85915	-	3	CJE0069, CJE0070, CJE0071
87894	90074	-	3	cdtC, cdtB, cdtA
90151	93221	+	4	CJE0076, cydA, cydB, CJE0079
95082	97842	+	2	aspA, dcuA
97948	100334	+	3	CJE0084, CJE0085, CJE0086
100417	102966	+	2	CJE0087, CJE0088
103125	103698	+	2	rplU, rpmA
105791	108948	+	4	fmt, CJE0094, CJE0095, CJE0096
109009	117661	+	11	CJE0097, CJE0098, atpH, atpA, atpG, atpD, atpC, CJE0104, CJE0105, CJE0106, tolB
117738	123672	+	9	CJE0108, CJE0109, slyD, fabD, mtnA, CJE0113, CJE0114, CJE0115, CJE0116
124510	131026	-	7	dusB, CJE0119, CJE0120, CJE0121, accD, CJE0123, CJE0124
132010	139249	+	8	CJE0126, lpxC, CJE0128, thrB, CJE0130, infB, rbfA, CJE0133
139354	142666	+	2	CJE0134, CJE0135
142655	145208	-	3	CJE0136, CJE0137, CJE0138
145477	147446	+	2	CJE0139, CJE0140
150843	157101	-	8	CJE0144, hom, CJE0146, CJE0147, CJE0148, CJE0149, CJE0150, rpmE
157180	162853	-	9	CJE0152, CJE0153, CJE0154, CJE0155, CJE0156, moaA, CJE0158, CJE0159, ubiA
167083	170815	-	4	CJE0166, CJE0167, CJE0168, CJE0169
170945	175978	+	5	CJE0170, CJE0171, exbB-1, CJE0173, CJE0174
178700	180815	-	3	CJE0177, CJE0178, CJE0179
180887	187481	-	7	purN, CJE0181, CJE0182, CJE0183, def, clpP, tig
187625	189582	+	2	folE, fliI
189585	191652	-	2	purF, dapB
191715	194023	-	2	CJE0191, CJE0192
194603	195500	-	2	CJE0194, CJE0195
200275	204083	+	6	thrS, infC, CJE0201, CJE0202, CJE0203, CJE0204
205926	206246	+	2	CJE0210, CJE0211
208320	208844	+	2	CJE0216, CJE0217
210256	212964	-	2	CJE0221, CJE0222
213298	213662	-	2	CJE0224, CJE0225
213815	216568	-	3	CJE0226, CJE0227, CJE0228
216668	222942	-	13	CJE0229, CJE0230, CJE0231, CJE0232, CJE0233, CJE0234, CJE0235, CJE0236, CJE0237, CJE0238, CJE0239, CJE0240, CJE0241
223091	224342	+	2	CJE0243, CJE0244
224507	225852	+	2	CJE0245, CJE0246
226028	227018	+	2	CJE0247, CJE0248
227105	231308	+	3	CJE0249, CJE0250, CJE0251
231434	232963	+	3	CJE0252, CJE0253, CJE0254
234323	236689	-	4	CJE0258, CJE0259, CJE0260, CJE0261
236798	237453	-	2	CJE0262, CJE0263
237517	238178	-	2	CJE0264, CJE0265
238722	240020	-	3	CJE0267, CJE0268, CJE0269
240090	242362	-	2	CJE0270, CJE0271
242507	244132	+	2	CJE0272, CJE0273
244537	248061	+	4	argC, CJE0276, argB, argD
249316	253679	-	6	CJE0281, nrdF, CJE0283, pyrE, frr, secG
254639	257154	+	2	cynT, CJE0289
257177	259339	-	2	CJE0290, CJE0291
263633	264997	+	2	CJE0298, CJE0299
264966	266436	-	2	CJE0300, CJE0301
266529	268393	+	3	moaC, CJE0303, CJE0304
269288	275679	+	5	CJE0306, dgkA, CJE0308, pyrC, CJE0310
281817	284884	-	4	CJE0315, CJE0316, CJE0317, ilvE
285060	286809	+	3	CJE0319, CJE0320, CJE0321
286903	291140	+	5	fabZ, lpxA, clpX, mreB, CJE0326
291401	295089	+	2	carB, CJE0328
295090	301113	-	6	tal, serB, cheW, cheA, cheV, CJE0334
301246	302837	-	2	greA, lpxB
305377	306796	+	2	surE, CJE0340
306871	308931	-	3	panD, panC, panB
310007	312709	-	4	modC, modB, CJE0347, modA
312763	315196	-	3	CJE0349, CJE0350, bioF
316533	317803	-	3	bioD, CJE0354, CJE0355
317935	320073	+	3	rplY, pth, CJE0358
320117	324239	+	4	lysA, CJE0360, pheA, hisC
324291	329679	+	4	fliF, fliG, fliH, dxs
330221	334720	+	5	CJE0368, ubiE, xseA, serC, CJE0372
334717	337613	-	5	fabH, plsX, rpmF, CJE0376, ndk
340025	344203	-	3	motB, CJE0382, polA
344367	346732	+	2	CJE0384, CJE0385
346688	348391	-	3	CJE0386, CJE0387, CJE0388
348435	351810	-	2	CJE0389, uvrA
353084	358435	+	5	trpE, trpD, trpF, trpB, trpA
358506	360034	+	3	CJE0399, fliN, CJE0401
360031	361736	-	2	CJE0402, CJE0403
362599	363509	-	2	CJE0405, CJE0406
364829	367065	+	3	glmM, lspA, CJE0411
368811	374507	-	3	cmeC, cmeB, cmeA
374601	376596	-	2	CJE0417, CJE0418
377088	383323	+	7	CJE0420, CJE0421, CJE0422, CJE0423, CJE0424, CJE0425, CJE0426
383288	384753	-	2	CJE0427, CJE0428
384809	389030	-	6	CJE0429, pyrF, nusB, ribH, kdsA, CJE0434
389132	395672	+	5	engA, aroK, trpS, serS, CJE0439
399391	401867	-	4	CJE0443, CJE0444, CJE0445, CJE0446
402363	408325	+	7	CJE0448, fur, lysS, glyA, CJE0452, CJE0453, aroE
410273	415962	+	4	frdC, frdA, frdB, CJE0460
416072	418485	+	2	CJE0461, CJE0462
418621	421072	+	2	CJE0463, CJE0464
425760	426553	+	2	CJE0473, CJE0474
426676	428578	+	2	CJE0475, CJE0476
429669	431749	+	3	CJE0479, CJE0480, CJE0481
438113	440382	-	2	murD, mraY
442012	443172	+	2	fabG, CJE0486
443615	447168	+	3	sdhA, sdhB, sdhC
447835	450384	+	4	CJE0492, acpP, fabF, accA
453301	454623	-	2	CJE0498, CJE0499
458015	462161	-	6	CJE0504, CJE0505, CJE0506, CJE0507, miaB, CJE0509
464655	468734	+	3	CJE0512, CJE0513, recG
469210	471911	+	4	CJE0516, CJE0517, CJE0518, CJE0519
474082	475255	+	3	secE, nusG, rplK
476163	477040	+	2	rplJ, rplL
477149	485831	+	2	rpoB, rpoC
485862	486771	-	2	CJE0530, CJE0531
489202	495069	+	6	CJE0534, CJE0535, fucP, CJE0537, CJE0538, aldA
495853	498411	+	2	rpsG, fusA
499899	500805	-	3	CJE0545, CJE0546, CJE0547
502374	503547	-	2	CJE0550, CJE0551
503790	507059	-	7	CJE0553, CJE0554, CJE0555, CJE0556, CJE0557, CJE0558, CJE0559
508862	510418	-	3	CJE0563, CJE0564, CJE0565
510498	513376	-	4	CJE0566, CJE0567, CJE0568, CJE0569
513488	521242	+	13	CJE0570, CJE0571, CJE0572, CJE0573, CJE0574, CJE0575, CJE0576, CJE0577, CJE0578, CJE0579, CJE0580, CJE0581, CJE0582
521507	526419	+	2	CJE0583, CJE0584
526698	527759	-	2	CJE0585, CJE0586
527979	532237	+	4	CJE0587, CJE0588, CJE0589, CJE0590
532338	535867	+	7	CJE0591, CJE0592, CJE0593, CJE0594, CJE0595, CJE0596, CJE0597
535929	536947	+	3	CJE0598, CJE0599, CJE0600
538788	543514	+	7	CJE0602, CJE0603, CJE0604, CJE0605, trpC, CJE0607, CJE0608
545084	547936	-	3	hemH, CJE0611, CJE0612
548051	553058	+	3	alaS, maf, pbpA
556188	559137	+	4	ctpA, purC, purS, purQ
559221	561365	+	3	CJE0622, CJE0623, CJE0624
561438	564012	+	3	htpG, CJE0626, CJE0627
567597	568835	-	3	fliE, flgC, flgB
572518	580522	+	8	icd, mdh, sucC, sucD, oorD, oorA, oorB, oorC
580661	588466	+	8	CJE0643, CJE0644, CJE0645, hemA, proS, CJE0648, hemC, CJE0650
